year_month,segment,complaints,timely,relief,narrative,timely_rate,relief_rate,narrative_rate
2011-12,Amex,58,58,0,0,1.0,0.0,0.0
2011-12,Industry,2536,2285,4,0,0.901,0.0016,0.0
2012-01,Amex,64,64,1,0,1.0,0.0156,0.0
2012-01,Industry,3230,3038,14,0,0.9406,0.0043,0.0
2012-02,Amex,54,54,1,0,1.0,0.0185,0.0
2012-02,Industry,3509,3373,23,0,0.9612,0.0066,0.0
2012-03,Amex,79,79,0,0,1.0,0.0,0.0
2012-03,Industry,6229,6004,47,0,0.9639,0.0075,0.0
2012-04,Amex,55,55,2,0,1.0,0.0364,0.0
2012-04,Industry,5703,5466,131,0,0.9584,0.023,0.0
2012-05,Amex,54,54,8,0,1.0,0.1481,0.0
2012-05,Industry,7614,7214,1437,0,0.9475,0.1887,0.0
2012-06,Amex,102,102,21,0,1.0,0.2059,0.0
2012-06,Industry,7841,7485,2417,0,0.9546,0.3083,0.0
2012-07,Amex,78,78,19,0,1.0,0.2436,0.0
2012-07,Industry,6755,6522,1876,0,0.9655,0.2777,0.0
2012-08,Amex,73,73,18,0,1.0,0.2466,0.0
2012-08,Industry,6877,6667,1851,0,0.9695,0.2692,0.0
2012-09,Amex,61,61,26,0,1.0,0.4262,0.0
2012-09,Industry,5492,5346,1447,0,0.9734,0.2635,0.0
2012-10,Amex,150,150,48,0,1.0,0.32,0.0
2012-10,Industry,6741,6591,1749,0,0.9777,0.2595,0.0
2012-11,Amex,95,95,26,0,1.0,0.2737,0.0
2012-11,Industry,6139,6034,1403,0,0.9829,0.2285,0.0
2012-12,Amex,74,74,18,0,1.0,0.2432,0.0
2012-12,Industry,6238,6121,1271,0,0.9812,0.2038,0.0
2013-01,Amex,97,97,35,0,1.0,0.3608,0.0
2013-01,Industry,9741,9645,2087,0,0.9901,0.2142,0.0
2013-02,Amex,78,78,29,0,1.0,0.3718,0.0
2013-02,Industry,8349,8278,1761,0,0.9915,0.2109,0.0
2013-03,Amex,115,115,41,0,1.0,0.3565,0.0
2013-03,Industry,8785,8725,1852,0,0.9932,0.2108,0.0
2013-04,Amex,96,96,38,0,1.0,0.3958,0.0
2013-04,Industry,8632,8568,1681,0,0.9926,0.1947,0.0
2013-05,Amex,100,100,39,0,1.0,0.39,0.0
2013-05,Industry,8170,8114,1518,0,0.9931,0.1858,0.0
2013-06,Amex,80,80,27,0,1.0,0.3375,0.0
2013-06,Industry,8035,7985,1550,0,0.9938,0.1929,0.0
2013-07,Amex,89,89,28,0,1.0,0.3146,0.0
2013-07,Industry,9272,9152,2082,0,0.9871,0.2245,0.0
2013-08,Amex,87,87,24,0,1.0,0.2759,0.0
2013-08,Industry,9564,9452,2138,0,0.9883,0.2235,0.0
2013-09,Amex,101,101,31,0,1.0,0.3069,0.0
2013-09,Industry,9636,9485,2227,0,0.9843,0.2311,0.0
2013-10,Amex,94,94,30,0,1.0,0.3191,0.0
2013-10,Industry,9240,9120,2028,0,0.987,0.2195,0.0
2013-11,Amex,83,83,21,0,1.0,0.253,0.0
2013-11,Industry,9318,9150,2054,0,0.982,0.2204,0.0
2013-12,Amex,93,93,28,0,1.0,0.3011,0.0
2013-12,Industry,9474,9277,2099,0,0.9792,0.2216,0.0
2014-01,Amex,117,117,28,0,1.0,0.2393,0.0
2014-01,Industry,12616,12379,2784,0,0.9812,0.2207,0.0
2014-02,Amex,102,102,24,0,1.0,0.2353,0.0
2014-02,Industry,13046,12822,2898,0,0.9828,0.2221,0.0
2014-03,Amex,114,114,33,0,1.0,0.2895,0.0
2014-03,Industry,13940,13725,3023,0,0.9846,0.2169,0.0
2014-04,Amex,133,133,45,0,1.0,0.3383,0.0
2014-04,Industry,13834,13531,2832,0,0.9781,0.2047,0.0
2014-05,Amex,98,98,21,0,1.0,0.2143,0.0
2014-05,Industry,12158,11917,2571,0,0.9802,0.2115,0.0
2014-06,Amex,107,106,30,0,0.9907,0.2804,0.0
2014-06,Industry,12508,12253,2569,0,0.9796,0.2054,0.0
2014-07,Amex,132,132,48,0,1.0,0.3636,0.0
2014-07,Industry,13402,13126,2688,0,0.9794,0.2006,0.0
2014-08,Amex,111,110,24,0,0.991,0.2162,0.0
2014-08,Industry,13169,12839,2549,0,0.9749,0.1936,0.0
2014-09,Amex,108,108,36,0,1.0,0.3333,0.0
2014-09,Industry,12454,12144,2335,0,0.9751,0.1875,0.0
2014-10,Amex,113,113,44,0,1.0,0.3894,0.0
2014-10,Industry,12882,12501,2417,0,0.9704,0.1876,0.0
2014-11,Amex,120,120,40,0,1.0,0.3333,0.0
2014-11,Industry,11243,10920,2097,0,0.9713,0.1865,0.0
2014-12,Amex,130,130,38,0,1.0,0.2923,0.0
2014-12,Industry,11658,11254,2106,0,0.9653,0.1806,0.0
2015-01,Amex,121,121,43,0,1.0,0.3554,0.0
2015-01,Industry,12608,12245,2530,0,0.9712,0.2007,0.0
2015-02,Amex,116,116,37,0,1.0,0.319,0.0
2015-02,Industry,12657,12282,2474,0,0.9704,0.1955,0.0
2015-03,Amex,136,136,41,19,1.0,0.3015,0.1397
2015-03,Industry,14489,14087,2853,2375,0.9723,0.1969,0.1639
2015-04,Amex,130,130,42,60,1.0,0.3231,0.4615
2015-04,Industry,13729,13306,2711,5376,0.9692,0.1975,0.3916
2015-05,Amex,132,132,26,58,1.0,0.197,0.4394
2015-05,Industry,13671,13311,2595,5643,0.9737,0.1898,0.4128
2015-06,Amex,127,127,33,51,1.0,0.2598,0.4016
2015-06,Industry,14502,14107,2674,5904,0.9728,0.1844,0.4071
2015-07,Amex,160,160,60,78,1.0,0.375,0.4875
2015-07,Industry,15895,15455,3077,6627,0.9723,0.1936,0.4169
2015-08,Amex,146,146,40,61,1.0,0.274,0.4178
2015-08,Industry,15756,15346,2895,6452,0.974,0.1837,0.4095
2015-09,Amex,162,162,35,75,1.0,0.216,0.463
2015-09,Industry,14320,13976,2504,5759,0.976,0.1749,0.4022
2015-10,Amex,134,134,30,56,1.0,0.2239,0.4179
2015-10,Industry,14879,14499,3283,6258,0.9745,0.2206,0.4206
2015-11,Amex,153,153,35,82,1.0,0.2288,0.5359
2015-11,Industry,12890,12500,2393,5136,0.9697,0.1856,0.3984
2015-12,Amex,166,166,36,84,1.0,0.2169,0.506
2015-12,Industry,12877,12537,2363,5193,0.9736,0.1835,0.4033
2016-01,Amex,139,139,35,62,1.0,0.2518,0.446
2016-01,Industry,13827,13385,2478,5649,0.968,0.1792,0.4085
2016-02,Amex,161,161,44,64,1.0,0.2733,0.3975
2016-02,Industry,14131,13723,2563,5578,0.9711,0.1814,0.3947
2016-03,Amex,170,170,56,76,1.0,0.3294,0.4471
2016-03,Industry,16599,16113,3012,6406,0.9707,0.1815,0.3859
2016-04,Amex,164,164,42,68,1.0,0.2561,0.4146
2016-04,Industry,15595,15170,2828,6212,0.9727,0.1813,0.3983
2016-05,Amex,178,178,61,85,1.0,0.3427,0.4775
2016-05,Industry,15510,15102,2892,6192,0.9737,0.1865,0.3992
